,Model Names,Pearson Corr,Standard Deviation,RMSE,Spatial Corr,Annual Mean Bias,Austral Summer (DJF) Mean Bias
20,ACCESS-CM2,0.856274333281085,8.844716530326057,5.223618333100716,0.8556952570049249,-2.451637182862058,-1.1105008136956185
18,ACCESS-ESM1-5,0.7897635249064054,7.674061447780057,5.063414121827756,0.7892392881600291,-1.397050225721391,-1.6977915057377737
9,AWI-CM-1-1-MR,0.8226267300920485,6.178537791394137,4.153252713574255,0.8221780219573035,-0.2056143885572333,-2.10579590167081
4,CAMS-CSM1-0,0.8263172161804389,6.8556705794660395,5.765559959850894,0.8256595551487796,3.989698361491521,1.5035561151955767
1,CAS-ESM2-0,0.8246007234755012,7.423633081025768,6.096941383079537,0.8241207055887289,4.296271612890119,2.39602853347879
28,CESM2-WACCM,-0.28591212570630387,7.54076226331742,11.913301492587184,-0.2857366074288641,0.7443901948945729,0.3153820959757515
11,CMCC-CM2-SR5,0.8148882461981564,7.396591939181773,4.848813032502219,0.814329195530099,1.9292063751004997,1.2644433616398594
12,CMCC-ESM2,0.8182219603563308,7.300007310496013,4.76680544914941,0.8176813828526796,1.85120236962185,1.1141951558120182
26,CanESM5,0.7273652041704669,6.2025128988452884,5.456568542665445,0.7268871028038353,1.9936689379871801,-0.3640616982259041
0,E3SM-1-1,0.7777721118138349,5.709861286982618,7.0100904917376,0.7772128319185274,5.331408652749239,2.1879730466042475
29,E3SM-1-1-ECA,0.8107276670622241,5.871657777451796,6.731244293539008,0.8102344715331999,5.247644538718262,2.3119993651057493
3,E3SM-Project,0.7969922543623742,5.681111850294288,7.197108089552748,0.7964651115857042,5.6984416197119145,2.5066347158790623
14,EC-Earth3,0.819071945622497,7.307511230070987,5.36825651492917,0.8183728770453431,3.10485747181666,2.5933071507092245
22,EC-Earth3-Veg,0.8199911621724263,7.459490897303167,5.542600633074967,0.8193048141581606,3.374451658506455,2.8791899456694803
23,EC-Earth3-Veg-LR,0.7985971061904961,7.653617448284375,5.686442773967048,0.7980328225602275,3.1466542607533676,2.419433069181612
32,ERA5,1.0,7.285352203491198,0.0,1.0,,
8,FGOALS-f3-L,-0.07059561959186038,7.661017319019657,11.45899927170624,-0.0705218257401411,3.4368627574518866,2.1843793827495097
17,FGOALS-g3,0.7741415390582472,6.441533301978283,4.782531175502001,0.77374609834481,-0.9539624967092972,-2.3548415393875395
21,GFDL-ESM4,0.7667255588673366,6.259466442995698,5.286204118261662,0.7662558674178622,2.3789846760603894,0.315189676383595
15,IITM-ESM,0.6617978173176103,5.038542200596554,10.960380205686631,0.6614527857116314,9.524361552783864,5.515211441701857
6,INM-CM4-8,0.782474593183995,6.6551245442233204,6.710558353039575,0.7818907958342439,4.867565525172923,2.5177465488732698
7,INM-CM5-0,0.7383839359593533,6.498969405081615,6.656712761428594,0.7379052995630911,4.353300723519503,1.8140058659753795
13,IPSL-CM6A-LR,0.8212050107226021,8.121693441357277,4.683789384671496,0.8207070399975672,-0.27245357180635793,-0.1287523432649856
2,KIOST-ESM,0.710510831108722,4.269617633392711,7.70759264236729,0.7101216342281744,5.698691380618785,1.2025278507559678
27,MIROC6,0.6927466311567826,4.419566979620702,9.73471061035079,0.6923230569716267,8.21556065083882,3.2231673524251088
5,MPI-ESM1-2-HR,0.790842390484795,5.909138480167773,4.51363480713465,0.7904066822909668,0.7091822022478205,-1.436860400238966
30,MPI-ESM1-2-LR,0.7377306391510922,5.26585840292334,6.008894089697574,0.7373030410181167,3.483030014807367,0.007033781026922662
25,MRI-ESM2-0,0.773712317295958,6.250892867053981,4.761168586234881,0.7732323736070991,1.0402049416582209,-0.7669000910150093
31,Model Mean,0.8957602469953975,4.2998506510090175,5.078606072784811,0.8953355371699502,3.241598157904642,1.0402513952116605
24,NESM3,0.6553562822585489,4.345560818727423,8.981859780843653,0.6549541159222914,7.121675178203875,1.6617365086312663
19,NorESM2-LM,-0.19010430661771016,5.52002284379071,10.773191456836129,-0.1899997541831059,4.193784048803205,1.1204275419752188
16,NorESM2-MM,-0.3237465573066642,6.435166858020747,11.39809556833349,-0.32353248576505017,2.274315948325196,0.59562182956258
10,TaiESM1,-0.2766960981150724,7.265769778354757,11.650891715627674,-0.2765158561115992,-0.74518697638459,-0.9601410567203292
