,Model Names,Pearson Corr,STD,RMSE,CRMSE,Spatial Corr
15,ERA5,0.9999999999999999,9.814404960732906,0.0,0.0,0.9999999999999999
0,ACCESS-CM2,0.91394770556671,13.20406498415043,6.243953679020745,5.7445608326798245,0.9047448758412149
1,ACCESS-ESM1-5,0.8981716676730577,10.007480683650085,4.852315397850161,4.366135072735495,0.8878202961137316
2,AWI-CM-1-1-MR,0.8841780690641156,8.876125727630386,4.6904046725760145,4.545462765187111,0.8736937232860028
3,CAMS-CSM1-0,0.7812409151028095,12.438409135233325,9.352723751719264,7.806429094886772,0.7743458560896362
4,CAS-ESM2-0,0.7956907843971944,12.478064186994107,9.225971498991795,7.608377820045271,0.7890940030167867
5,CESM2-WACCM,-0.4159875504923853,11.403628703348014,17.946020762254346,17.87233644131367,-0.4120897703674024
6,CMCC-CM2-SR5,0.7865958102472363,13.964356110378763,8.874938201325175,8.689502309109226,0.7785672922525249
7,CMCC-ESM2,0.7813447241476986,13.95338617160901,8.947859878274395,8.772890379024217,0.773434807811164
8,CanESM5,0.7401092911913222,11.145493912765874,8.028060808299093,7.6461118971728474,0.73287779018364
9,E3SM-1-1,0.8062701394923352,11.46697078486736,7.7192323550049915,6.779203575707193,0.7983685566142432
10,E3SM-1-1-ECA,0.8135360412124789,11.569378362948836,7.6059880714441155,6.706095924155971,0.8054205430911154
11,E3SM-Project,0.807997713797014,11.583225416983165,7.711903193266309,6.817282509051635,0.799776975779825
12,EC-Earth3,0.874236954574051,8.131465907173345,6.682097623486589,4.765805459120553,0.8596852217445516
13,EC-Earth3-Veg,0.870813178492788,8.159140022747184,6.725369191757013,4.8305557042032055,0.8559210976462952
14,EC-Earth3-Veg-LR,0.8664854770045166,8.0441488707507,6.510016036385963,4.9616433743028185,0.8483253816758162
16,FGOALS-f3-L,-0.30285524614858306,11.657317813502408,17.50563812452868,17.391819858464302,-0.29941808824017985
17,FGOALS-g3,0.796078211382875,9.999405573225724,7.337778883760908,6.328112081122139,0.787994841955613
18,GFDL-ESM4,0.7723130354581171,9.475440384973187,6.63161063062237,6.53768922504682,0.7620827253982119
19,IITM-ESM,0.9013715851275195,9.429830137778,10.038858502015175,4.2145170960246086,0.8904811355988648
20,INM-CM4-8,0.7300283099662354,11.826264910863685,8.879612826056034,8.172401306793684,0.719148037106152
21,INM-CM5-0,0.739326755176846,12.235980416353675,8.822239942994507,8.26353555797778,0.7289047875548196
22,IPSL-CM6A-LR,0.8998402786678954,11.537676751851327,5.4415313437615485,4.990211858477456,0.889667177058569
23,KIOST-ESM,0.7846091604276271,7.94612184391819,9.348886962981373,6.055851198539944,0.7753673489000109
24,MIROC6,0.8971171994348028,10.018301529758345,9.158886298016576,4.468316029096094,0.8863282888691463
25,MPI-ESM1-2-HR,0.8754219590882274,8.527614116425688,5.006550608186922,4.675717533224633,0.8642779859302794
26,MPI-ESM1-2-LR,0.8511103197374353,8.27568901853111,5.829835597864079,5.1174906276542345,0.8400484968900922
27,MRI-ESM2-0,0.905715436285855,10.419051433203046,5.049343444542133,4.347315822159358,0.8968544756315998
28,Model Mean,0.8515881801804064,7.492120311145524,5.77927789629519,5.2071212461288,0.845809801029386
29,NESM3,0.8666721498214968,8.500284041123557,5.74942631148812,4.866248082587748,0.8545862072832098
30,NorESM2-LM,-0.4201422504588458,10.462169360678427,17.32315701206591,17.093399478462185,-0.41641794968875634
31,NorESM2-MM,-0.43073421581905175,10.621106261622366,17.36152867225239,17.290376759531764,-0.42651526208155655
32,TaiESM1,-0.44531603272484904,11.470654657996187,18.6444433949495,18.12842206175456,-0.43918645661156996
