,Model Names,Weighted Mean Bias
20,ACCESS-CM2,-1.8922840673235386
18,ACCESS-ESM1-5,-1.8420198488391177
9,AWI-CM-1-1-MR,-0.4628809226478629
4,CAMS-CSM1-0,4.864651176028437
1,CAS-ESM2-0,5.018729281485373
28,CESM2-WACCM,-0.4319166962243935
11,CMCC-CM2-SR5,-1.3413954109972617
12,CMCC-ESM2,-1.290084107559971
26,CanESM5,-1.5568347630254336
0,E3SM-1-1,3.341211010911828
29,E3SM-1-1-ECA,3.240503546415721
3,E3SM-Project,3.2725766235777662
14,EC-Earth3,4.6288671310797955
22,EC-Earth3-Veg,4.613314252466389
23,EC-Earth3-Veg-LR,4.093947847961719
8,FGOALS-f3-L,-0.07707185368785223
17,FGOALS-g3,-3.4038931260035956
21,GFDL-ESM4,-0.6600767015083198
15,IITM-ESM,9.047293671870419
6,INM-CM4-8,0.454393559934399
7,INM-CM5-0,-0.3442158849208938
13,IPSL-CM6A-LR,-1.771127265247099
2,KIOST-ESM,6.959228629584981
27,MIROC6,7.959357995793995
5,MPI-ESM1-2-HR,1.1778855801620343
30,MPI-ESM1-2-LR,2.2461354518301593
25,MRI-ESM2-0,1.8306983306863682
31,Model Mean,2.2749911898961495
24,NESM3,2.736256690893345
19,NorESM2-LM,1.4597117892686564
16,NorESM2-MM,0.9434902785184743
10,TaiESM1,-4.125352942880296
